Paper,Lat,Long,Study,Site,Pathway,Mean_rate,errorbar_values,error_reported,sample_size,Wetland_type_reported,Wetland_type,Inc_temp,Inc_length_days,Depth_cm,Depth_representative,Salinity_ppt,Salinity_cat,dom_veg,method,labeled_substrate,subpathway,Potential
An et al 2024,31_29N ,121_57E,13,28,Anaerobic methane oxidation,0.018,0.00325,SD,3,coastal wetland,Marsh,30,1,0-5,2.5,0.6,low,Bare mudflat,"13C tracer, soil slurry",Humic acids,Humic acid-dependent,YES
An et al 2024,31_29N ,121_57E,13,28,Anaerobic methane oxidation,0.02,0.00325,SD,3,coastal wetland,Marsh,30,1,0-5,2.5,0.6,low,Bare mudflat,"13C tracer, soil slurry",Fe,Iron-dependent,YES
An et al 2024,31_29N ,121_57E,13,28,Anaerobic methane oxidation,0.008,0.00325,SD,3,coastal wetland,Marsh,30,1,0-5,2.5,0.6,low,Bare mudflat,"13C tracer, soil slurry",NO2,Nitrite-dependent,YES
An et al 2024,31_29N ,121_57E,13,28,Anaerobic methane oxidation,0.013,0.00325,SD,3,coastal wetland,Marsh,30,1,0-5,2.5,0.6,low,Bare mudflat,"13C tracer, soil slurry",NO3,Nitrate-dependent,YES
An et al 2024,31_29N ,121_57E,13,28,Anaerobic methane oxidation,0.035,0.005,SD,3,coastal wetland,Marsh,30,1,0-5,2.5,0.6,low,Bare mudflat,"13C tracer, soil slurry",SO4,Sulfate-dependent,YES
An et al 2024,31_29N ,121_57E,13,29,Anaerobic methane oxidation,0.02,0.01,SD,3,coastal wetland,Marsh,30,1,0-5,2.5,1.15,low,Phragmites australis,"13C tracer, soil slurry",Mn,Manganese-dependent,YES
An et al 2024,31_29N ,121_57E,13,29,Anaerobic methane oxidation,0.018,0.012,SD,3,coastal wetland,Marsh,30,1,0-5,2.5,1.15,low,Phragmites australis,"13C tracer, soil slurry",Humic acids,Humic acid-dependent,YES
An et al 2024,31_29N ,121_57E,13,29,Anaerobic methane oxidation,0.025,0.013,SD,3,coastal wetland,Marsh,30,1,0-5,2.5,1.15,low,Phragmites australis,"13C tracer, soil slurry",Fe,Iron-dependent,YES
An et al 2024,31_29N ,121_57E,13,29,Anaerobic methane oxidation,0.004,0.013,SD,3,coastal wetland,Marsh,30,1,0-5,2.5,1.15,low,Phragmites australis,"13C tracer, soil slurry",NO2,Nitrite-dependent,YES
An et al 2024,31_29N ,121_57E,13,29,Anaerobic methane oxidation,0.01,0.01,SD,3,coastal wetland,Marsh,30,1,0-5,2.5,1.15,low,Phragmites australis,"13C tracer, soil slurry",NO3,Nitrate-dependent,YES
